-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2015 through 12/31/2020 in UTC
Location: Latitude  28.627   Longitude 77.172 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
PS                    MERRA-2 Surface Pressure (kPa) 
PSC                   MERRA-2 Corrected Atmospheric Pressure (Adjusted For Site Elevation) (kPa) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M,RH2M,WS10M,WD10M,PS,PSC
2015,1,1,0,0.0,0.0,8.34,51.34,2.17,358.4,98.99,98.84
2015,1,1,1,0.0,0.0,8.34,50.93,2.09,354.0,99.05,98.9
2015,1,1,2,45.15,84.55,9.38,51.01,1.84,348.7,99.12,98.97
2015,1,1,3,135.02,249.3,12.21,38.6,1.93,344.1,99.21,99.06
2015,1,1,4,231.4,410.02,14.49,32.99,1.42,340.3,99.26,99.11
2015,1,1,5,258.35,527.83,18.23,27.88,1.34,346.2,99.2,99.05
2015,1,1,6,351.0,562.88,21.48,28.26,1.66,4.5,99.07,98.92
2015,1,1,7,339.52,556.7,23.4,29.99,2.37,16.4,98.91,98.76
2015,1,1,8,349.95,483.3,23.98,29.89,2.66,23.8,98.81,98.67
2015,1,1,9,256.27,357.52,23.0,33.09,2.49,29.5,98.76,98.61
2015,1,1,10,155.15,198.65,20.3,44.99,1.8,36.2,98.77,98.63
2015,1,1,11,39.58,45.83,19.37,43.35,1.23,58.0,98.84,98.69
2015,1,1,12,0.0,0.0,18.45,44.55,0.97,131.2,98.95,98.8
2015,1,1,13,0.0,0.0,17.25,48.18,1.57,173.4,99.06,98.91
2015,1,1,14,0.0,0.0,16.5,50.65,1.71,196.0,99.12,98.97
2015,1,1,15,0.0,0.0,16.31,50.85,1.46,216.6,99.14,98.99
2015,1,1,16,0.0,0.0,15.9,51.06,1.17,223.6,99.14,98.99
2015,1,1,17,0.0,0.0,14.75,54.13,1.02,211.8,99.14,98.99
2015,1,1,18,0.0,0.0,14.61,54.71,0.83,217.7,99.14,98.99
2015,1,1,19,0.0,0.0,14.73,54.18,0.5,275.7,99.11,98.96
2015,1,1,20,0.0,0.0,13.74,58.35,1.19,331.3,99.07,98.92
2015,1,1,21,0.0,0.0,12.26,64.91,1.95,337.7,99.01,98.86
2015,1,1,22,0.0,0.0,11.5,67.98,2.23,338.2,98.97,98.82
2015,1,1,23,0.0,0.0,11.25,67.23,2.1,335.5,98.98,98.83
2015,1,2,0,0.0,0.0,11.45,64.16,1.7,332.2,99.02,98.87
2015,1,2,1,0.0,0.0,11.93,60.49,1.03,333.4,99.08,98.93
2015,1,2,2,35.47,79.88,12.8,62.2,0.13,61.4,99.16,99.01
2015,1,2,3,73.93,239.0,13.69,61.58,1.27,143.3,99.26,99.11
2015,1,2,4,75.85,405.85,15.06,60.85,2.14,149.1,99.35,99.2
2015,1,2,5,119.0,531.2,18.14,49.18,3.15,150.8,99.34,99.19
2015,1,2,6,111.78,593.92,19.37,45.08,3.26,153.4,99.25,99.1
2015,1,2,7,135.5,570.03,19.6,45.57,2.78,149.7,99.15,99.01
2015,1,2,8,131.73,493.95,19.71,46.26,2.12,132.9,99.07,98.93
2015,1,2,9,94.43,367.48,19.69,46.9,1.91,107.4,99.01,98.86
2015,1,2,10,58.75,205.57,19.11,49.82,1.85,92.5,98.97,98.83
2015,1,2,11,13.77,49.5,17.06,63.1,1.28,101.8,99.0,98.86
2015,1,2,12,0.0,0.0,15.61,64.1,1.42,131.3,99.09,98.94
2015,1,2,13,0.0,0.0,14.86,68.35,1.65,151.7,99.16,99.01
2015,1,2,14,0.0,0.0,13.95,73.51,1.88,164.0,99.2,99.05
2015,1,2,15,0.0,0.0,13.17,77.14,2.01,174.0,99.2,99.05
2015,1,2,16,0.0,0.0,12.6,79.73,1.97,184.1,99.18,99.03
2015,1,2,17,0.0,0.0,12.11,82.43,1.83,197.4,99.15,98.99
2015,1,2,18,0.0,0.0,11.5,86.02,1.78,218.2,99.11,98.96
2015,1,2,19,0.0,0.0,11.04,89.03,1.67,234.5,99.1,98.95
2015,1,2,20,0.0,0.0,10.88,90.69,1.46,250.8,99.08,98.93
2015,1,2,21,0.0,0.0,10.88,91.63,1.23,276.5,99.04,98.89
2015,1,2,22,0.0,0.0,10.72,93.31,1.21,305.9,99.0,98.85
2015,1,2,23,0.0,0.0,10.41,94.89,1.3,325.9,99.01,98.85
2015,1,3,0,0.0,0.0,10.06,95.9,1.37,336.4,99.05,98.9
2015,1,3,1,0.0,0.0,9.91,96.27,1.29,339.6,99.1,98.95
2015,1,3,2,57.22,85.07,10.88,91.98,1.23,339.1,99.16,99.01
2015,1,3,3,119.0,250.82,12.22,87.13,0.87,328.7,99.24,99.09
2015,1,3,4,148.27,412.27,15.83,69.95,0.08,119.7,99.31,99.16
2015,1,3,5,206.18,532.53,18.12,61.46,0.56,163.5,99.28,99.14
2015,1,3,6,224.55,587.03,18.98,58.61,0.72,182.4,99.19,99.04
2015,1,3,7,194.38,578.22,19.69,56.36,0.79,205.6,99.08,98.93
2015,1,3,8,186.05,504.23,20.13,54.26,0.79,229.6,99.0,98.85
2015,1,3,9,139.05,374.05,19.84,54.46,0.72,261.2,98.93,98.78
2015,1,3,10,82.97,207.5,19.07,57.12,0.81,294.0,98.91,98.77
2015,1,3,11,21.88,49.1,17.77,67.26,0.78,320.2,98.94,98.79
2015,1,3,12,0.0,0.0,16.39,67.95,0.96,342.5,99.0,98.85
2015,1,3,13,0.0,0.0,15.74,69.38,1.01,358.9,99.06,98.91
2015,1,3,14,0.0,0.0,15.23,70.91,0.95,1.2,99.12,98.97
2015,1,3,15,0.0,0.0,14.8,72.47,0.9,343.8,99.17,99.02
2015,1,3,16,0.0,0.0,14.54,73.34,0.99,319.5,99.2,99.05
2015,1,3,17,0.0,0.0,14.06,75.56,1.12,301.1,99.2,99.05
