Latitude (decimal degrees):	28.627
Longitude (decimal degrees):	77.172
Elevation (m):	243
Radiation database:	PVGIS-ERA5


Slope: 15 deg. 
Azimuth: -179 deg. 
Nominal power of the PV system (c-Si) (kWp):	50.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20150101:0030,0.0,0.0,0.0,12.64,2.21,0.0
20150101:0130,0.0,0.0,-3.64,12.29,2.28,0.0
20150101:0230,941.5,36.69,7.99,11.95,2.41,0.0
20150101:0330,4635.5,145.56,18.61,13.08,2.14,0.0
20150101:0430,9192.5,258.99,27.7,15.58,1.86,0.0
20150101:0530,13297.5,362.07,34.48,18.01,1.24,0.0
20150101:0630,14392.5,382.63,38.02,20.14,1.79,0.0
20150101:0730,12822.5,339.74,37.67,20.7,2.0,0.0
20150101:0830,11429.0,305.88,33.49,20.95,1.66,0.0
20150101:0930,8489.0,233.98,26.25,21.19,1.38,0.0
20150101:1030,3896.5,114.85,16.84,21.26,1.38,0.0
20150101:1130,911.5,36.3,6.01,20.43,1.1,0.0
20150101:1230,0.0,0.0,0.0,19.52,1.52,0.0
20150101:1330,0.0,0.0,0.0,18.06,2.07,0.0
20150101:1430,0.0,0.0,0.0,17.04,2.28,0.0
20150101:1530,0.0,0.0,0.0,16.31,2.41,0.0
20150101:1630,0.0,0.0,0.0,15.83,2.48,0.0
20150101:1730,0.0,0.0,0.0,15.53,2.14,0.0
20150101:1830,0.0,0.0,0.0,14.92,1.72,0.0
20150101:1930,0.0,0.0,0.0,15.06,1.1,0.0
20150101:2030,0.0,0.0,0.0,14.69,1.17,0.0
20150101:2130,0.0,0.0,0.0,14.47,1.03,0.0
20150101:2230,0.0,0.0,0.0,14.34,1.31,0.0
20150101:2330,0.0,0.0,0.0,14.16,2.0,0.0
20150102:0030,0.0,0.0,0.0,14.54,2.34,0.0
20150102:0130,0.0,0.0,-3.68,14.56,2.41,0.0
20150102:0230,400.5,20.93,7.96,14.39,2.62,0.0
20150102:0330,2694.0,85.81,18.6,14.69,2.28,0.0
20150102:0430,5938.5,165.09,27.71,15.13,2.28,0.0
20150102:0530,9821.5,262.29,34.52,16.14,2.48,0.0
20150102:0630,6390.0,171.98,38.09,17.11,3.1,0.0
20150102:0730,5754.0,156.29,37.77,16.08,2.14,0.0
20150102:0830,8642.0,228.13,33.61,16.06,2.41,0.0
20150102:0930,3647.5,105.68,26.38,16.52,3.38,0.0
20150102:1030,1607.0,54.67,16.97,16.19,2.62,0.0
20150102:1130,283.0,17.0,6.14,16.0,2.21,0.0
20150102:1230,0.0,0.0,0.0,15.56,1.93,0.0
20150102:1330,0.0,0.0,0.0,15.15,2.0,0.0
20150102:1430,0.0,0.0,0.0,14.9,1.86,0.0
